participantNumber,rewardType,handShow,jointAgency,aligned(jointAgency) for rewardType,aligned(jointAgency) for handShow,aligned(jointAgency) for rewardType*handShow,ART(jointAgency) for rewardType,ART(jointAgency) for handShow,ART(jointAgency) for rewardType*handShow
P12,0.0,0.0,4.894736842105263,-1.7696127322808342218750,-1.1429645999130085484375,-1.0488752385653993031250,22,31,33
P12,0.0,1.0,4.95,-2.2535025700563626625000,-1.2631885785057950234375,-1.3572779398534042687500,18,29,28
P12,1.0,0.0,5.0625,-1.7773367108736206968750,-2.7676507024241883359375,-2.4980742045890556156250,21,11,11
P12,1.0,1.0,5.7,-1.3280154335688391875000,-1.9546635659366648609375,-2.2242400637717975812500,28,19,14
P13,0.0,0.0,5.3125,-1.3518495743860972218750,-0.7252014420182715484375,-0.6311120806706623031250,26,40,43
P13,0.0,1.0,7.947368421052632,0.7438658509962693375000,1.7341798425468369765625,1.6400904811992277312500,71,110,110
P13,1.0,0.0,8.0625,1.2226632891263793031250,0.2323492975758116640625,0.5019257954109443843750,82,61,70
P13,1.0,1.0,8.88888888888889,1.8608734553200508125000,1.2342253229522251390625,0.9646488251170924187500,102.5,95.5,84.5
P14,0.0,0.0,6.375,-0.2893495743860972218750,0.3372985579817284515625,0.4313879193293376968750,46,63,66
P14,0.0,1.0,6.7368421052631575,-0.4666604647932051625000,0.5236535267573624765625,0.4295641654097532312500,43,72,65
P14,1.0,0.0,5.875,-0.9648367108736206968750,-1.9551507024241883359375,-1.6855742045890556156250,36,18,22
P14,1.0,1.0,7.388888888888889,0.3608734553200498125000,-0.2657746770477758609375,-0.5353511748829085812500,64,52,47
P15,0.0,0.0,3.8,-2.8643495743860972218750,-2.2377014420182715484375,-2.1436120806706623031250,14,14,15
P15,0.0,1.0,4.923076923076923,-2.2804256469794396625000,-1.2901116554288720234375,-1.3842010167764812687500,17,28,27
P15,1.0,0.0,7.8,0.9601632891263793031250,-0.0301507024241883359375,0.2394257954109443843750,75.5,55.5,59.5
P15,1.0,1.0,7.368421052631579,0.3404056190627398125000,-0.2862425133050858609375,-0.5558190111402185812500,62,51,46
P16,0.0,0.0,6.5,-0.1643495743860972218750,0.4622985579817284515625,0.5563879193293376968750,51,71,71
P16,0.0,1.0,5.461538461538462,-1.7419641085179006625000,-0.7516501169673330234375,-0.8457394783149422687500,23,39,36
P16,1.0,0.0,7.2,0.3601632891263793031250,-0.6301507024241883359375,-0.3605742045890556156250,63,42,51
